model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,filler_prob,ordered_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
lstm,2,48,64,256,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.6966843605041504,0.1125,54.09807872772217,0.4862070083618164,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,2,48,64,512,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.7672054767608643,0.1015625,54.09807872772217,0.8031890392303467,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,2,48,64,1024,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.8050849437713623,0.0765625,54.09807872772217,1.449373483657837,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,2,48,64,2000,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.8060741424560547,0.05625,54.09807872772217,2.658264636993408,dabsn_thesis_20260630_033000_keyvalue_length_ood
lstm,2,48,64,3200,2000,64,16,16,8,0.25,False,0.001,17104,2.6233744621276855,2.817162275314331,0.0546875,54.09807872772217,4.174851894378662,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,64,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,0.00017379934433847666,1.0,57.887993812561035,0.25768184661865234,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,128,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,4.252101898193359,0.278125,57.887993812561035,0.32982754707336426,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,256,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,6.946005344390869,0.084375,57.887993812561035,0.48665404319763184,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,512,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,8.702825546264648,0.0625,57.887993812561035,0.808344841003418,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,1024,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,6.785931587219238,0.0703125,57.887993812561035,1.4698493480682373,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,2000,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,6.163283824920654,0.0546875,57.887993812561035,2.761859178543091,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,0,48,64,3200,2000,64,16,16,8,0.25,False,0.001,30784,0.00020162557484582067,5.660445690155029,0.05625,57.887993812561035,4.481961488723755,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,64,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,0.0002495611261110753,1.0,57.72103238105774,0.25373077392578125,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,128,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,9.479387283325195,0.0703125,57.72103238105774,0.33192944526672363,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,256,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,7.552359104156494,0.0703125,57.72103238105774,0.484358549118042,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,512,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,6.214243412017822,0.071875,57.72103238105774,0.8143661022186279,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,1024,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,7.026355266571045,0.075,57.72103238105774,1.4755218029022217,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,2000,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,6.556628704071045,0.0671875,57.72103238105774,2.773604154586792,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,1,48,64,3200,2000,64,16,16,8,0.25,False,0.001,30784,0.006175257731229067,6.369264125823975,0.0703125,57.72103238105774,4.630399703979492,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,64,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,0.0001057821573340334,1.0,57.97035503387451,0.25408458709716797,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,128,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,4.185039043426514,0.3015625,57.97035503387451,0.3313753604888916,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,256,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,5.222661018371582,0.11875,57.97035503387451,0.48834228515625,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,512,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,6.9599199295043945,0.0828125,57.97035503387451,0.8119518756866455,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,1024,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,7.146061897277832,0.0578125,57.97035503387451,1.4710228443145752,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,2000,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,5.928573131561279,0.0625,57.97035503387451,2.7635715007781982,dabsn_thesis_20260630_033000_keyvalue_length_ood
transformer,2,48,64,3200,2000,64,16,16,8,0.25,False,0.001,30784,5.1259434258099645e-05,6.282374858856201,0.0703125,57.97035503387451,4.479938745498657,dabsn_thesis_20260630_033000_keyvalue_length_ood
