model,seed,hidden,vocab,train_str_len,eval_str_len,steps,batch_size,lr,params,train_acc_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_field,2,48,64,64,1024,1000,48,0.01,21739,1.0,0.003910174220800399,0.99892578125,15.096434831619263,0.4399445056915283,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,2,48,64,64,2048,1000,48,0.01,21739,1.0,0.016403590515255927,0.995538330078125,15.096434831619263,1.8048152923583984,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_field,2,48,64,64,3200,1000,48,0.01,21739,1.0,0.0463289625942707,0.9874804735183715,15.096434831619263,4.347298622131348,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,64,1000,48,0.01,21739,0.9996744990348816,0.0001337495537882205,1.0,21.051087141036987,0.02222418785095215,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,128,1000,48,0.01,21739,0.9996744990348816,0.00040643354805069976,0.9998697876930237,21.051087141036987,0.047659873962402344,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,256,1000,48,0.01,21739,0.9996744990348816,0.0015688001236412673,0.99990234375,21.051087141036987,0.061981916427612305,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,512,1000,48,0.01,21739,0.9996744990348816,0.0011348147440003232,0.9996337890625,21.051087141036987,0.2137012481689453,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,1024,1000,48,0.01,21739,0.9996744990348816,0.003736388450488448,0.99892578125,21.051087141036987,0.8288173675537109,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,2048,1000,48,0.01,21739,0.9996744990348816,0.015964601188898087,0.9953125,21.051087141036987,3.49072265625,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,0,48,64,64,3200,1000,48,0.01,21739,0.9996744990348816,0.04155963286757469,0.9880742192268371,21.051087141036987,8.471445560455322,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,64,1000,48,0.01,21739,1.0,0.00033241880155401307,0.9999348998069764,21.10472583770752,0.021803617477416992,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,128,1000,48,0.01,21739,1.0,0.0001147892069639056,1.0,21.10472583770752,0.04778623580932617,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,256,1000,48,0.01,21739,1.0,0.000825559209624771,0.99990234375,21.10472583770752,0.06209373474121094,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,512,1000,48,0.01,21739,1.0,0.0021814962849020956,0.9992919921875,21.10472583770752,0.2135467529296875,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,1024,1000,48,0.01,21739,1.0,0.005626209545880556,0.99814453125,21.10472583770752,0.8286862373352051,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,2048,1000,48,0.01,21739,1.0,0.03551965206861496,0.9896240234375,21.10472583770752,3.4905436038970947,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,1,48,64,64,3200,1000,48,0.01,21739,1.0,0.09765764921903611,0.9724687576293946,21.10472583770752,8.470219612121582,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,2,48,64,64,64,1000,48,0.01,21739,1.0,0.0001611008334748476,0.9999348998069764,20.923266172409058,0.022130966186523438,dabsn_thesis_20260630_012013_copy_length_ood
