model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_hybrid,2,48,64,3200,1000,64,16,16,8,0.006,16507,2.2896551854501013e-06,4.110854558803112e-06,1.0,72.5542311668396,33.814210653305054,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,64,1000,64,16,16,8,0.001,13024,2.368591070175171,2.38332200050354,0.2072265625,62.549182176589966,0.5959808826446533,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,128,1000,64,16,16,8,0.001,13024,2.368591070175171,2.418537950515747,0.1939453125,62.549182176589966,0.902259111404419,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,256,1000,64,16,16,8,0.001,13024,2.368591070175171,2.5650919914245605,0.1728515625,62.549182176589966,1.537083387374878,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,512,1000,64,16,16,8,0.001,13024,2.368591070175171,2.9276155710220335,0.109765625,62.549182176589966,2.7679529190063477,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,1024,1000,64,16,16,8,0.001,13024,2.368591070175171,3.256588172912598,0.0853515625,62.549182176589966,5.223149299621582,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,2000,1000,64,16,16,8,0.001,13024,2.368591070175171,3.5437161445617678,0.0623046875,62.549182176589966,10.065810441970825,dabsn_thesis_20260630_012013_mqar_length_ood
gru,0,48,64,3200,1000,64,16,16,8,0.001,13024,2.368591070175171,3.6359777450561523,0.060546875,62.549182176589966,15.682013511657715,dabsn_thesis_20260630_012013_mqar_length_ood
gru,1,48,64,64,1000,64,16,16,8,0.001,13024,2.3466622829437256,2.35337290763855,0.2107421875,62.63597655296326,0.6179196834564209,dabsn_thesis_20260630_012013_mqar_length_ood
gru,1,48,64,128,1000,64,16,16,8,0.001,13024,2.3466622829437256,2.375063490867615,0.2013671875,62.63597655296326,0.916163444519043,dabsn_thesis_20260630_012013_mqar_length_ood
gru,1,48,64,256,1000,64,16,16,8,0.001,13024,2.3466622829437256,2.4973172187805175,0.1728515625,62.63597655296326,1.5288009643554688,dabsn_thesis_20260630_012013_mqar_length_ood
gru,1,48,64,512,1000,64,16,16,8,0.001,13024,2.3466622829437256,2.6895027637481688,0.12421875,62.63597655296326,2.7743263244628906,dabsn_thesis_20260630_012013_mqar_length_ood
gru,1,48,64,1024,1000,64,16,16,8,0.001,13024,2.3466622829437256,2.9294389486312866,0.0876953125,62.63597655296326,5.223872423171997,dabsn_thesis_20260630_012013_mqar_length_ood
gru,1,48,64,2000,1000,64,16,16,8,0.001,13024,2.3466622829437256,3.1836497306823732,0.07421875,62.63597655296326,9.986895322799683,dabsn_thesis_20260630_012013_mqar_length_ood
